ticker,promoter_pledge_pct,promoter_holding_pct,fii_delta_qoq,dii_delta_qoq,mf_delta_qoq,auditor_qualified,rpt_concern,note
LLOYDSME,0.0,61.63,-0.41,0.47,,,,
LODHA,0.0,70.31,2.41,-1.06,,,,
LTF,0.0,65.96,0.07,-0.01,,,,
LTFOODS,0.0,51.0,-0.53,0.54,,,,
LTM,0.0,68.49,-0.32,-0.17,,,,
LTTS,0.0,73.52,0.27,-0.59,,,,
LUPIN,0.0,46.85,0.72,-0.67,,,,
M&M,0.0,18.44,-1.34,1.21,,,,
M&MFIN,0.0,52.49,0.13,-0.61,,,,
MAHABANK,0.0,73.6,0.27,0.35,,,,
MANAPPURAM,0.0,41.66,-0.93,1.89,,,,
MANKIND,0.0,72.63,-0.79,0.93,,,,
MAPMYINDIA,0.0,51.41,-1.63,-1.57,,,,
MARICO,0.0,58.92,-0.68,0.7,,,,
MARUTI,0.0,58.65,-1.3,1.0,,,,
MAXHEALTH,0.0,23.71,-3.61,3.63,,,,
MAZDOCK,0.0,81.22,-0.01,-0.07,,,,
MEDANTA,0.0,33.0,-0.69,2.13,,,,
MEESHO,0.0,16.41,1.02,3.58,,,,
MFSL,26.9,1.25,0.18,-0.4,,,,
MGL,0.0,32.5,-0.92,1.52,,,,
MINDACORP,0.0,64.84,0.5,-0.95,,,,
MMTC,0.0,89.93,0.03,0.01,,,,
MOTHERSON,0.0,61.72,-0.83,0.44,,,,
MOTILALOFS,0.0,67.2,-0.17,0.76,,,,
MPHASIS,100.0,30.54,-0.01,-0.34,,,,
MRF,0.0,27.76,-0.55,-0.14,,,,
MRPL,0.0,88.58,-1.24,0.05,,,,
MSUMI,0.0,61.72,-0.83,0.44,,,,
MUTHOOTFIN,0.0,73.35,-0.7,0.32,,,,
NAM-INDIA,0.0,71.8,-0.31,0.72,,,,
NATCOPHARM,0.0,49.41,-0.38,0.17,,,,
NATIONALUM,0.0,51.28,-0.28,0.47,,,,
NAUKRI,0.0,37.48,-4.25,4.4,,,,
NAVA,0.0,50.03,-0.39,0.04,,,,
NAVINFLUOR,0.0,27.08,-0.05,0.85,,,,
NBCC,0.0,61.75,-0.22,0.53,,,,
NCC,0.0,23.09,-0.82,1.48,,,,
NESTLEIND,0.0,62.76,0.56,-0.51,,,,
NETWEB,0.0,66.98,-0.02,1.23,,,,
NEULANDLAB,0.0,32.62,0.62,0.68,,,,
NEWGEN,0.0,53.45,-0.7,-0.7,,,,
NH,0.0,63.27,-0.58,-0.09,,,,
NHPC,0.0,61.39,1.95,3.76,,,,
NIACL,0.0,85.44,0.01,0.0,,,,
NIVABUPA,0.0,55.3,1.49,-0.32,,,,
NLCINDIA,0.0,69.47,1.01,-1.03,,,,
NMDC,0.0,60.79,-0.01,0.04,,,,
NSLNISP,0.0,60.79,0.63,-0.07,,,,
NTPC,0.0,51.1,-0.24,0.31,,,,
NTPCGREEN,0.0,89.01,0.06,0.14,,,,
NUVAMA,62.8,53.98,2.06,0.19,,,,
NUVOCO,0.0,72.02,-0.17,-0.35,,,,
NYKAA,0.0,52.07,1.33,-1.27,,,,
OBEROIRLTY,0.0,67.71,-0.31,0.25,,,,
OFSS,0.0,72.41,1.66,-0.33,,,,
OIL,0.0,56.66,-0.39,0.7,,,,
OLAELEC,0.0,32.96,0.11,5.15,,,,
OLECTRA,0.0,50.02,0.84,-0.1,,,,
ONESOURCE,37.2,30.48,1.69,2.76,,,,
ONGC,0.0,58.89,0.04,0.01,,,,
PAGEIND,0.0,42.89,-0.09,0.43,,,,
PARADEEP,0.0,57.86,-3.26,2.58,,,,
PATANJALI,0.0,68.25,-0.67,-1.01,,,,
PCBL,0.0,53.38,0.23,0.27,,,,
PERSISTENT,0.0,30.29,-1.32,-0.22,,,,
PETRONET,0.0,50.0,-0.86,0.74,,,,
PFC,0.0,55.99,0.9,-0.55,,,,
PFIZER,0.0,63.92,-1.16,0.91,,,,
PFOCUS,0.0,60.73,-0.26,-0.09,,,,
PGEL,0.0,43.37,0.2,-0.61,,,,
PHOENIXLTD,0.0,47.25,-1.24,1.24,,,,
PIDILITIND,0.0,69.24,-0.06,0.25,,,,
PIIND,0.0,46.09,-1.04,0.3,,,,
PIRAMALFIN,0.0,46.16,0.82,-0.17,,,,
PNB,0.0,70.08,-0.46,0.01,,,,
PNBHOUSING,0.0,28.03,0.21,1.64,,,,
POLYCAB,0.0,61.46,0.79,-0.33,,,,
POLYMED,0.0,62.42,-0.36,0.48,,,,
POONAWALLA,0.0,59.02,0.75,4.6,,,,
POWERGRID,0.0,51.34,-0.69,0.57,,,,
POWERINDIA,0.0,71.31,0.76,-0.63,,,,
PPLPHARMA,0.0,34.8,-17.66,-1.04,,,,
PREMIERENE,0.0,58.48,2.2,4.28,,,,
PRESTIGE,0.0,60.95,-0.93,0.91,,,,
PTCIL,0.0,59.72,0.0,0.14,,,,
PVRINOX,0.0,27.53,0.22,-0.71,,,,
PWL,0.0,71.27,0.45,-0.34,,,,
RADICO,0.0,40.19,0.57,0.73,,,,
RAILTEL,0.0,72.84,0.26,0.0,,,,
RAINBOW,0.0,49.84,-1.21,1.44,,,,
RAMCOCEM,0.0,42.55,-0.52,0.58,,,,
